id_lancamento,data,project_id,projeto,fornecedor,categoria,descricao,valor,centro_custo,aprovado
XDP5GJLQM5,14/02/2026,,Governança de Crédito,Fortes,Outros,Nota fiscal,"2.829,15",CC-01,S
18HAFEYUHZ,16/03/2026,PRJ-025,,Monday.com,Serviços,Serviço recorrente,R$ 3419,CC-03,
N7HV3IZKY2,07-10-25,PRJ-015,,Azure,Infra,Serviço recorrente,"1.759,19",cc-02,Sim
3ZP08J3TRP,28/10/25,PRJ-014,Reestruturação Comercial KOP,Fortes,Infra,Nota fiscal,"R$ 50,00",CC-01,Nao
GH2M5ZJA8D, 06-01-26 ,,Controle de Inadimplência,Power BI Pro,Treinamento,Serviço recorrente,"1,015.16",CC-03,S
URTP0LZJJE,26/11/25,,Redução de Churn,Marketing Y,Infra,Mensalidade,"3,023.47",CC-03,Não
GIGATJ9TZE,12.02.2026,PRJ-027,,Treinamento Z,Software,Nota fiscal,"R$ 1.260,15",cc-02,S
CWBFUK9E1V,31/01/2026,PRJ-011,Dashboard Financeiro,Marketing Y,Outros,Serviço recorrente,"141,78",CC02,Nao
HXFGCAQVKI,06/03/2026,,Ajuste de Precificação,Fortes,Taxas,Nota fiscal,R$ 2789.50,CC-03,Não
FJFC2V37PQ, 20/11/25 ,,Pipeline Comercial EFVCG,Fortes,Taxas,Horas de consultoria,,,N
4U89YJB1QX, 04/12/2025 ,PRJ-016,NPS E SATISFAÇÃO,Fortes,Serviços,Serviço recorrente,"50,00",CC02,Sim
XO1BDJE153,11-11-25,PRJ-010,Revisão de Processos,Azure,Taxas,Nota fiscal,R$ 2210.20,CC02,Sim
K5RBW2ZLAO,2025-10-14,PRJ-028,,Marketing Y,Outros,Mensalidade,R$ 4970.80,CC-01,
ITN7S55J2O,09/12/25,,Franquia WEX,Fornecedor Local,Infra,Nota fiscal,"R$ 50,00",CC-03,Nao
1N759IN4OL,23.01.2026,,Gestão de Contratos,Treinamento Z,Taxas,Nota fiscal,"5.914,93",CC-03,
PSQ0OXFQ8M,01-03-26,PRJ-018,Integração ERP Fortes,Power BI Pro,Taxas,Mensalidade,"R$ 5.513,64 (estim,)",CC-03,N
YKID91ZDFK,16/02/2026,PRJ-020,Organograma PMO,Azure,Software,Licenças,219.42,cc-02,Nao
